name,author,content,source,datetime,literature_type,download,cite,link,key_worlds
珠三角城市创新能力及创新空间溢出效应研究,张璇,"国家、地区如何在全球化的进程中加快经济发展的脚步,核心在于提高自身的核心竞争力,而提高核心竞争力的重要途径之一是创新能力的培养和提高。珠三角地区一直作为改革开放先行区和重要的经济中心区域,在全国经济发展和改革开放战略中发挥着突出的带动作用,在粤港澳大湾区背景下,更是肩负将粤港澳大湾区建设成为国际科技创新中心的使命。但是,珠三角东西两岸的经济发展极端不平衡,创新能力两极化的问题突出,对国际科技创新中心的建设极其不利。因此,本文一方面运用描述性统计和综合评价对珠三角城市创新能力的历史情况及现状进行了全面分析,试图理清珠三角城市创新的特征、存在的问题及优势;另一方面,从创新空间溢出理论出发,明确创新空间溢出效应影响因素、影响作用以及影响程度,为珠三角的创新能力提供科学合理的提升路径,并为其他地区的创新发展提供可借鉴的结论。研究结果发现:(1)珠三角城市创新发展不平衡,空间上呈现“中心高—外围低”的特征;(2)珠三角城市的创新能力在创新产出、创新投入、创新环境和创新效率方面各有优劣势;(3)在地理和经济的空间权重矩阵下,珠三角的创新产出表现出与经济发展水平的紧密关联性以及突出的局部同类集聚和路径依赖现象;(4)珠三角城市的创新产出存在显著的正向溢出效应,且创新资金和人员投入、人力资本水平、经济发展水平、科技政策环境和对外贸易水平对本地创新产出有正向促进作用,外商直接投资水平则有抑制作用。根据研究结果提出提升珠三角城市创新能力,改善创新发展不平衡应补足区域创新短板,提高区域创新能力;依托广深科技创新走廊,发挥创新产出溢出作用;加大科研资金和人员投入,提高创新资源使用效率;发挥大市场功能,缩小地方经济差异;引进和培育高端人才,提升自主创新能力。",暨南大学,2020年,硕士论文,42,0,https://wap.cnki.net/touch/web/Dissertation/Article/10559-1021514005.nh.html,"创新能力,空间自相关,创新空间溢出"
山东省地区创新能力与经济质量的耦合协调及影响因素,姚振飞 张学波,运用熵权法、耦合协调度评价模型和空间计量模型分析了山东省地区创新能力与经济质量的耦合协调演变特征及影响因素。结果表明：①山东省地区创新能力与经济质量演变表现出同步性和耦合性的特征。②地区创新能力与经济质量的耦合水平以低度耦合为主，空间上的扩散效应较弱；创新能力和经济质量的协调水平以轻度失调为主，空间上形成了以济南和青岛为双核的中心—外围结构。③研发经费投入、高校教师数量、专利申请和利用外资等对创新能力与经济质量的协调发展有显著正向影响，而经济水平、产业结构和城乡协调状况对其呈负向影响。,资源开发与市场,2021.07.20,网络首发,205,0,https://wap.cnki.net/touch/web/Journal/Article/ZTKB20210719003.html,"创新能力,经济质量,耦合协调,影响因素,山东省"
价格因素对区域创新能力影响研究,彭绪庶 张笑,价格因素影响创新人才、要素和资源流动与配置，对区域创新生态构建和创新能力有着重要影响。本文从区域创新能力影响因素和价格因素影响区域创新能力的理论机制出发，分析了劳动力、土地和房产、能源资源和金融资产等价格因素对区域创新能力的影响。研究发现：价格因素主要是通过价格水平、价格变化方向与趋势、价格变化幅度影响企业行为选择和个体就业选择，进而影响区域创新能力。不同类型价格因素对区域创新能力的影响均同时存在正向效应和负向效应，影响程度存在较大差别，需要结合价格因素和区域因素具体分析。,价格理论与实践,2021.08.18,网络首发,0,0,https://wap.cnki.net/touch/web/Journal/Article/JGLS20210817000.html,"价格因素,区域创新能力,劳动力价格,房地产价格,能源资源价格,金融资产价格"
我国南北经济分化的影响因素研究——基于区域创新能力差异的视角,盛垒 张子彧,经济新常态以来，我国区域发展格局出现了南北经济分化的新特征，探明南北分化加剧的原因并提出相应的解决之道已变得十分迫切。该文在梳理南北经济分化态势和区域创新差异格局的基础上，基于经济新常态的发展大逻辑，从区域创新能力差异的视角出发，通过构建计量经济学面板数据模型，实证分析南北经济发展分化的成因。研究表明：1）2013以来随着北方经济增长快速回落，我国南北经济分化走势愈益突出；2）北方与南方在创新能力上的落差同样较大，且区域创新鸿沟呈现逐渐扩大的趋势；3）造成南北经济分化加剧的最重要因素在于地区创新能力差异，资本积累速度的快慢对南北分化的产生有较大贡献，制度因素也可以部分解释南北经济增长分化，但劳动力因素并不构成南北经济分化的主要原因。研究还发现，北方人力资本优势在一定程度上缓和了南北经济分化的加剧。上述结论可以为促进我国南北经济协调发展提供政策启示。,华中师范大学学报(自然科学版),2021.08.18,网络首发,0,0,https://wap.cnki.net/touch/web/Journal/Article/HZSZ20210817002.html,"南北经济分化,区域创新能力,经济新常态"
“双一流”背景下省属本科高校学科与区域创新能力建设的协同与错位,孙战文,"国家""双一流""建设和创新发展为省属本科高校学科建设及其服务区域创新能力注入了新的内涵,提供了新的发展机遇。立足于""双一流""建设背景,研究重新审视省属本科高校学科与区域创新能力建设中的机遇与挑战,提出省属本科高校学科与区域创新能力建设协同发展与错位竞争的定位,并据此提出了特色优势学科与区域创新能力和谐共生的理念,提出了特色优势学科与区域创新能力在资源、人才、价值上的协同发展以及在区域创新、特色优势、应用性方面形成错位竞争优势的具体措施。",山东农业工程学院学报,2019年11期,,156,1,https://wap.cnki.net/touch/web/Journal/Article/SYNG201911035.html,"学科建设,区域创新能力,协同发展,错位竞争"
科技人才集聚、产业集聚和区域创新能力——基于京津冀、长三角、珠三角地区的实证...,赵青霞 夏传信 施建军,"基于Cobb-Douglas生产函数构建面板数据模型,对科技人才集聚、产业集聚及其交互作用对区域创新能力的影响进行了实证研究。研究发现,制造业集聚和生产性服务业集聚都与科技人才集聚形成正向的交互效应,推动区域创新能力的提升。科技人才集聚对于区域创新能力的贡献更大,科技人才集聚对区域创新能力的影响显著为正,而产业协同集聚的效应则显著为负,产业协同集聚对区域创新能力影响存在门槛效应,当科技人才集聚的对数值超过0.254 3时,产业协同集聚对区域创新能力的总效应为正,低于0.254 3时,产业协同集聚则对区域创新起着抑制的作用。",科技管理研究,核心,2019年24期,2579,25,https://wap.cnki.net/touch/web/Journal/Article/KJGL201924008.html,"科技人才集聚,产业集聚,区域创新"
金融结构对区域创新能力的影响研究,陈向阳,"金融是区域创新能力的关键支撑要素之一,金融结构对区域创新能力产生何种影响,目前缺乏从理论与实证上的系统分析。从市场与金融中介在创新融资绩效上的差异入手,理论上分析金融结构对区域创新能力提升的影响,并运用省际面板数据实证检验金融结构对区域创新能力的实际影响,理论分析认为,市场融资能更好地推动技术创新与发展;实证结果表明,股票市场与信贷市场的发展均能显著地推动区域自主创新能力的提高,但是中国东部和中部地区股票融资对区域自主创新能力影响的系数要大于信贷融资。在构建支持创新的金融结构中,应发挥政策性金融与金融市场的作用,建立政策性金融导向下的市场主导金融体系。通过间接融资配合期权、创新贷款资产证券化等金融工具创新,为创新提供全方位的融资支持。",区域经济评论,核心,,492,4,https://wap.cnki.net/touch/web/Journal/Article/QYHL201906012.html,"金融结构,区域创新能力,市场融资,中介融资"
国家级新区区域创新能力的综合评价,王谢勇 陈晓娴,"国内经济正迈入高质量发展阶段,创新发展至关重要,使得国家级新区区域创新能力成为学者研究的热点。构建综合评价指标体系,从创新环境、投入、产出和绩效4个方面,借助主成分分析法和聚类分析法对上海浦东、天津滨海、广州南沙、舟山群岛和大连金普新区的自主创新能力进行综合评价排名,针对分析结果归类并划分为领跑、挑战和追赶三个层级,得出各新区的优势与不足,提出对各新区区域创新能力提升的相关对策与建议。",大连大学学报,2019年06期,,185,1,https://wap.cnki.net/touch/web/Journal/Article/DALI201906014.html,"国家级新区,创新能力评价,主成分分析,聚类分析"
我国区域创新发展能力差异研究——基于政府与市场的视角,徐鹏杰 黄少安,"实施创新驱动发展战略、促进区域创新协同发展,是实现动能转换和稳定经济运行的重要举措。本文使用我国226个城市2006—2017年的面板数据,在测算地区创新发展能力的基础上,构建动态空间计量模型分析了政府和市场等因素对地区创新发展能力的影响,而后分别从东、中、西和南北两个角度构建孪生子模式,分析了地区创新发展能力差异的成因。研究结果表明:政府和市场都显著影响了我国地区创新发展能力;总体来看,中西部和北方地区创新发展依赖政府而东部和南方地区更倚重市场,这是导致区域创新发展能力差异的首因;经济开放、产业结构和基础设施等也是区域创新的显著影响因素。",财经科学,核心,2020年02期,727,8,https://wap.cnki.net/touch/web/Journal/Article/CJKX202002008.html,"创新发展能力,地区差异,政府与市场行为"
招商引资促进了区域创新能力吗?——基于地级市工业用地出让数据的分析,亓寿伟 褚凯丽 蒋汉洋,"本文利用2007-2015年各地市工业用地出让数据,考察了工业用地出让最低价格标准政策出台后,工业用地出让对区域创新的影响。研究结果发现,地方工业用地总体出让显著增加了区域创新水平,但该影响主要由招商引资动机的工业用地出让行为引起,正常工业用地出让并没有显著影响;对招商引资动机的作用分析发现,市场化程度、当地经济发展水平以及该地区的城市发展水平会强化该影响,从地方政府官员特征来看,户籍地任职有积极影响,而任期的延长则有抑制作用。",财政科学,2020年01期,,464,5,https://wap.cnki.net/touch/web/Journal/Article/CZKX202001014.html,"区域创新,招商引资,工业用地出让,官员特征"
对口支援、招商引资与区域创新能力提升——基于对口支援三峡库区的案例研究,李志国 杨灿 李慧杰,"具有中国特色的、为促进特定地区发展而实施的对口支援政策,对破解发展不平衡不充分难题具有重要作用,但也面临从""输血""到""造血""的转变。招商引资是受援地区发挥市场在资源配置中的决定性作用和更好发挥政府作用的重要路径,如何提升受援地区创新能力备受关注。本文以三峡工程对口支援政策受援地、位于三峡库区核心地带的万州区为区域案例对象,首先分析对口支援政策下招商引资与区域创新能力的关系并建立研究框架,然后从5个对口支援万州区的企事业单位案例出发,分析对口支援政策下招商引资对区域创新能力提升的影响路径。研究发现,招商引资精准匹配对口资源政策,对受援地区知识流动、技术创新、创新绩效和创新环境产生全面影响,其影响机理主要通过精准承接产业转移、精准识别企业特征、精准发挥禀赋优势、精准整合创新要素来作用于区域创新。本文的研究结论丰富了区域创新理论,对于进一步完善和优化对口支援政策具有参考意义。",科研管理,核心,2020年03期,585,5,https://wap.cnki.net/touch/web/Journal/Article/KYGL202003008.html,"对口支援,精准招商,区域创新能力,案例研究"
高校扩招对区域创新能力的影响:机制与实证,石大千 张琴 刘建江,"本文基于省级面板数据运用准倍差法实证检验了高校扩招政策对创新能力的影响。本文结论表明,在控制其他因素之后,扩招后教育数量扩张提高了创新能力44.22%,教育质量变化提升了创新能力1.12%.教育数量与教育质量之间存在交互影响,且教育质量提高促进创新的边际效应较教育数量大。机制验证表明,人力资本提升是扩招(教育数量和教育质量)促进创新的主要途径,且教育质量提升人力资本的作用较教育数量作用大。本文从创新角度评估高校扩招政策的影响,为进一步推进高校扩招政策,提升人力资本提供了直接政策指导。",科研管理,核心,2020年03期,978,3,https://wap.cnki.net/touch/web/Journal/Article/KYGL202003009.html,"扩招,教育数量,教育质量,创新能力,准倍差法"
上海城市内部创新能力测度及区域差异分析,史慧君 王承云,"利用2006、2011、2016年上海市16个区的统计数据,从创新投入、创新产出、创新载体、创新环境等四个方面分析区域创新能力及空间分布特征。结果表明:上海各区的创新水平存在一定差异,主要表现在浦东新区的创新能力一直高于其他区,徐汇、闵行次之,奉贤和崇明区由于地理区位和经济条件的限制,创新能力偏弱且增长缓慢;空间上,以浦东新区为核心的创新高水平区对杨浦区和松江区有辐射带动作用,形成了一条沿黄浦江的南北向创新走廊,但高水平区对周围地区的带动作用有限。技术专利、人才投入、政府支持和经济发展水平等是影响上海市各区创新能力的因素。",城市学刊,2020年01期,,157,1,https://wap.cnki.net/touch/web/Journal/Article/YYSZ202001010.html,"上海市,创新能力,区域差异"
基于制度环境门槛模型的研发投入对区域创新能力提升研究,吾买尔江·艾山 郑惠 孙春阳,"新常态背景下,我国经济增长引擎转向创新驱动,加大研发投入成为快速提高自主创新能力的重要途径。文章运用我国2005—2016年省际面板数据,以地区腐败、市场化进程与知识产权保护水平作为制度环境的代理变量,考察研发资金投入、研发人员投入对区域创新能力影响的门槛效应。研究结果表明:研发投入对区域创新能力的影响具有明显的制度环境双门槛效应:在地区腐败较低时,研发资金投入、研发人员投入对区域创新能力的促进作用较大,且二者的弹性系数均随着地区腐败程度的增加而减小;在市场化进程较低的地区,研发资金投入与研发人员投入对区域创新能力具有较小的正向促进作用,随着市场化进程的不断提升,研发资金投入与研发人员投入的弹性系数不断增大;在知识产权保护水平较低的地区,研发资金投入与研发人员投入对区域创新能力具有较小的正向促进作用,随着地区知识产权保护水平的提升,研发资金投入与研发人员投入对区域创新能力的促进作用逐渐增大。因此,在利用研发投入促进创新能力提升的过程中,各地区应充分考虑为其创造良好的制度环境。",新疆大学学报(哲学·人文社会科学版),CSSCI,2020年03期,530,1,https://wap.cnki.net/touch/web/Journal/Article/XJDB202003002.html,"制度环境,研发投入,区域创新能力,门槛效应"
互联网发展与区域创新能力非线性关系研究,惠宁 刘鑫鑫,"党的十九大报告要求全力推动互联网、大数据、人工智能与实体经济深度融合。在此背景下,明晰互联网与区域创新能力关系至关重要。基于2006-2017年中国内地30个省区市面板数据,运用门槛面板回归技术,全面探讨了互联网发展与区域创新能力间的非线性关系。研究结果表明:互联网发展对区域创新能力存在边际报酬递增的正向非线性影响,且在政府支持环境下两者存在正向、边际报酬递增的非线性关系,但在对外开放环境下,两者存在正向U型关系。进一步研究发现,互联网发展对不同创新主体的创新能力存在异质性双门槛效应,如对高校、企业呈现出正向U型影响,而对研发机构表现为正向的边际效率递减规律。依据该结论提出具有针对性的差异化""互联网+创新能力""融合策略。",科技进步与对策,核心,2020年12期,682,2,https://wap.cnki.net/touch/web/Journal/Article/KJJB202012007.html,"互联网,创新能力,创新主体,非线性"
提升欠发达地区创新能力战略研究,赵昱 张珺,"基于欠发达地区创新能力的中外文献梳理,以创新地理学为理论基础,结合欠发达地区区域特点,总结了欠发达地区创新能力的演化路径和创新主体的演化路径,提出了影响欠发达地区创新能力的四大因素:创业能力、知识学习能力、创新环境、网络能力.基于这4个维度,进行了发达地区与欠发达地区创新能力的战略对比分析,提出精准扶持、突出特点、齐头并进提升区域创新能力的思路.另外,欠发达地区各类创新主体应根据不同演化阶段的自身特点,发挥自身专长,转发展劣势为优势,变创新威胁为机会.",河北师范大学学报(自然科学版),2020年04期,,91,0,https://wap.cnki.net/touch/web/Journal/Article/HBSZ202004013.html,"欠发达地区,区域创新能力,SWOT分析,创新战略"
基于DTGA-BP组合模型的区域创新能力评价,李晨阳 刘春霞 党伟超 白尚旺 潘理虎,"以实现科学、准确、可操作的区域自主创新能力评估分类为目标,提出一种基于决策树遗传算法和BP神经网络的组合模型(Decision Tree Genetic Algorithm and Back Propagation, DTGA-BP).利用决策树对评估指标进行特征选择并通过优化隐藏层神经元数目对神经网络的结构进行改进;采用非线性的交叉变异概率值的遗传操作结合一种新的选择算子方式优化BP神经网络的初始权重与阈值.实验结果表明,组合模型的评估结果相比传统的主观赋值法更为科学准确;较单一BP神经网络模型和GA-BP模型在分类精度方面分别提高了41%和20%.",计算机系统应用,2020年05期,,73,0,https://wap.cnki.net/touch/web/Journal/Article/XTYY202005021.html,"区域创新,BP神经网络,决策树,遗传算法,分类精度"
国家服务业综合改革试点提高区域创新能力了吗?——基于PSM-DID模型的实证分析,陈亚平,"国家服务业综合改革试点对区域创新的溢出效应一直被学者和政策制定者忽略。文章基于2005-2016年全国258个城市数据,运用PSM-DID模型对国家服务业综合改革试点政策对区域创新能力的影响展开研究,并对影响机制进行了检验。结果表明:国家服务业综合改革试点政策能够提高试点地区的区域创新能力,且主要通过发挥创新服务业的部门效应和服务业的创新要素集聚效应以及改善地区创新生态三种机制实现。研究结果对进一步发挥服务业综合改革试点政策的外溢效应,提升区域创新水平具有重要的理论和实践意义。",科学决策,CSSCI,2020年07期,355,1,https://wap.cnki.net/touch/web/Journal/Article/KXJC202007005.html,"国家服务业综合改革试点政策,区域创新能力,PSM-DID,影响机制"
科技服务业发展、区域创新能力与经济增长——基于VAR模型分析,罗海滨,"科技服务业作为我国创新发展的支撑产业之一,其发展变化与地区的创新能力息息相关。从区域创新能力的角度出发,通过建立科技服务业发展、区域创新能力和经济增长理论模型,借助VAR模型方法,选取中国2003—2016年度数据进行实证检验,分析说明三者之间的交互关系,从理论框架上丰富和发展了现有关于科技服务业影响的相关研究。研究结果发现,科技服务业能够对区域创新能力、区域经济增长起到显著的促进作用,但是促进作用呈现出一个初期较弱,随着时间增长逐渐显著的长期效应。",沈阳师范大学学报(社会科学版),2020年05期,,515,1,https://wap.cnki.net/touch/web/Journal/Article/SYSS202005012.html,"科技服务业,区域创新,经济增长,VAR模型"
中国区域创新能力的空间结构及大国雁阵模式,陈琦 欧阳铭珂,"从创新投入、创新环境、创新成效三个维度构建中国区域创新能力评价体系,选取我国30个省级样本数据,采用主成分分析法对各区域创新能力进行评价,并深入分析其空间结构特征。研究表明:中国区域创新能力的空间结构呈现出明显的""东强西弱""阶梯式分布格局;创新能力高的区域高度集聚在沿海长三角、珠三角和京津冀三大区域。最后,依据实证结论创造性地引入雁阵理论,构建中国区域创新能力提升的大国雁阵模式,并探讨其实现路径。",湘潭大学学报(哲学社会科学版),核心,2020年05期,225,2,https://wap.cnki.net/touch/web/Journal/Article/XTDX202005013.html,"区域发展,创新能力,空间结构,雁阵模式"
高等教育层次结构与区域创新能力相关关系的实证研究——基于40国统计数据的分析,魏亚 刘学东 杨志和,"基于40个国家的统计数据,对高等教育层次结构与国家(区域)创新能力的相关关系进行实证研究。依据相关分析结果,区域创新能力依大数法则随高等教育层次结构重心提高而提高。当今世界创新能力最高的国家(区域),其高等教育层次结构的重心也最高。我国高等教育须适应经济发展对人才需求的变化,逐步提高高层次人才培养比重和高等教育层次结构重心,加强创新人才特别是高层次人才培养。",创新与创业教育,2020年04期,,231,1,https://wap.cnki.net/touch/web/Journal/Article/CXYC202004011.html,"高等教育,层次结构,区域创新能力,相关关系,实证研究"
山东省区域创新能力时空双维实证评价研究——基于PFHWD-TOPSIS模型,王家明 张云菲 丁浩,"文章从山东省区域创新实际出发,构建并优化区域创新评价指标体系,改进传统经典TOPSIS为PFHWDTOPSIS,并将其运用到对山东省17地市区域创新能力的时空双维实证评价中,形成了完善的区域创新能力评价指标体系,为山东省及17地市的区域创新政策制定提供思路和指导。从评价方法来看,PFHWD-TOPSIS方法更具决策柔性和灵活性,可通过对参数λ取值的调整满足不同的研究需要;从评价结果来看,山东省17地市区域创新能力均呈稳步提升态势,且差距逐步缩小,青岛市及青岛都市圈的区域创新能力处于山东省首位,济南市单独排名与济南都市圈在""两圈四区""中的排名差距较大。应更加注重创新集聚与扩散,促进区域创新能力的共同提高。",华东经济管理,核心,2020年11期,328,2,https://wap.cnki.net/touch/web/Journal/Article/HDJJ202011004.html,"PFHWD-TOPSIS,区域创新能力,指标回路法"
互联网发展对中国区域创新能力的影响效应,惠宁 刘鑫鑫,"推动互联网与区域创新深度融合是深化供给侧结构性改革的重要手段。基于互联网资源和互联网普及的双重视角,以2005-2018年中国30个省区市面板数据为样本,采用面板固定效应模型和门槛回归模型深入探讨互联网发展对区域创新能力影响的异质性与非线性,结果发现,互联网资源和互联网普及均对区域创新有显著的积极影响,且互联网普及的促进作用更强。此外,互联网发展与区域创新能力之间还存在明显的非线性关系,其中互联网资源对区域创新能力的促进作用不断减弱,呈现高水平陷阱特征;而互联网普及对区域创新能力的促进作用则不断增强,存在显著的网络效应。",社会科学研究,核心,2020年06期,448,1,https://wap.cnki.net/touch/web/Journal/Article/SHYJ202006006.html,"互联网资源,互联网普及,区域创新能力,线性影响,非线性影响,异质性,门槛特征"
数字普惠金融提升了区域创新能力吗,徐子尧 张莉沙 刘益志,"基于中国277个地级及以上城市2011—2017年的数据,运用动态面板系统GMM估计方法,实证检验了数字普惠金融发展对区域创新的影响与作用机制。结果表明:数字普惠金融发展显著促进了区域创新能力提升,且这种作用因城市地理区位、行政级别和初始创新水平不同而具有明显的地区异质性。数字普惠金融发展显著提升了中西部城市、重点城市和初始创新水平较低城市的创新能力,但对东部城市、一般城市和初始创新水平较高城市创新能力提升的影响并不显著。机制研究发现,数字普惠金融发展通过地区信贷资源配置状况改善和居民消费数量增加及消费质量提高促进了区域创新能力提升。",财经科学,核心,2020年11期,1305,6,https://wap.cnki.net/touch/web/Journal/Article/CJKX202011003.html,"数字普惠金融,区域创新,动态面板模型"
湖南省区域创新能力与经济发展水平的耦合协调分析,卢召艳 魏晓 李红 彭丽,"基于湖南省14个市州,通过构建创新能力与经济发展水平测度评价指标体系,综合运用熵值法、耦合协调度模型、空间自相关模型等方法对湖南省创新能力与经济发展水平的耦合协调性进行分析。结果发现:湖南省创新能力与经济发展水平在空间上呈现出较强的一致性,创新能力强的市州经济发展水平也较高;创新能力和经济发展水平耦合度处于较低的拮抗耦合阶段,耦合协调度以轻度失调类型为主。全局空间自相关表明二者的耦合协调度在空间上呈正向的相关性,局部空间自相关表明二者的耦合协调度形成了以热点区为核心向外围冷点区依次过渡的核心边缘空间分布格局。",湖南财政经济学院学报,2020年05期,,128,0,https://wap.cnki.net/touch/web/Journal/Article/HNCJ202005008.html,"创新能力,经济发展水平,耦合协调度,湖南经济"
中国省际知识聚合的测度及其对区域创新能力的影响研究,苏屹 林周周 欧忠辉,"为深入分析知识聚合对区域创新能力的影响机理,从自有知识和知识流动两个方面构建知识聚合测度指标体系,以2009-2015年中国30个省(市、自治区)的面板数据为样本,运用永续盘存法和熵权法对知识聚合进行测度;在此基础上,实证考察了知识聚合对区域创新能力的影响及其区域差异。结果表明:中国省际知识聚合大致呈现一种东高西低的非均衡态势,四大区域间差异明显,且伴有扩大趋势;在控制了研发经费投入强度、政府支持程度和区域创新机构数等条件下,省际知识聚合对总体区域创新能力具有显著的正向影响,而对分区域创新能力影响存在明显的区域差异,其中,中部地区知识聚合较西部地区知识聚合对区域创新能力的提升作用更大,东北地区知识聚合对区域创新能力具有抑制作用,东部地区知识聚合影响不显著;自有知识对区域创新能力的促进作用大于知识流动,且二者在影响区域创新过程中存在着显著的""互斥效应""。",管理工程学报,核心,2020年05期,461,1,https://wap.cnki.net/touch/web/Journal/Article/GLGU202005007.html,"知识聚合,测度,区域创新能力,区域差异"
中国区域创新能力与能源利用效率的时空耦合协调分析,黄丽 林诗琦 陈静,"创新驱动与绿色发展存在内在耦合协调需求。在梳理了区域创新能力与能源利用效率的耦合协调机理的基础上,以研究区内30个省际样本实证分析了其""绿色+创新""的耦合协调时空分布规律,得出以下结论:(1)区域创新能力与能源利用效率的耦合度随时间推移不断提升,二者的协调度呈现长期均衡提升短期波动的规律。(2)区域创新能力与能源利用效率高度耦合地区集中分布于长江经济带沿线地区,且随时间推移高度耦合地区集聚范围逐渐扩大。(3)我国大部分地区仍处于低水平耦合协调状态,各地区协调度的差异正在逐渐缩小。(4)西北部地区较低等级的耦合协调类型更容易发生跳跃式变化,而东南部地区较高等级的耦合协调类型变化较为稳健且方向明确。针对以上发现给出了相应的政策发展建议。",世界地理研究,核心,2020年06期,549,1,https://wap.cnki.net/touch/web/Journal/Article/SJDJ202006007.html,"区域创新能力,能源利用效率,耦合,协调,时空格局"
强化研发投入提升区域创新能力研究——以郑州市为例,杨勇 温波 李珂,"国际上通常采用R&D活动的规模和强度指标反映一国的科技实力和核心竞争力。一国的R&D水平体现着一国的政治经济实力,一个城市的R&D水平,体现着城市的竞争力,本文选取郑州为样本,从财政投入、企业投入、科教资源等方面分析影响R&D的原因,同时对中部地区的数据和政策进行对比,提出了提高城市R&D投入的对策建议。",创新科技,2017年08期,,143,2,https://wap.cnki.net/touch/web/Journal/Article/CXKJ201708006.html,"R&D,科技投入,研发强度,科研投入"
交通基础设施、人力资本对区域创新能力影响的实证研究,马明 薛晓达 赵国浩,"使用1995—2015年中国30个省区面板数据,在空间杜宾面板模型基础上加入时间因素,构建动态空间杜宾面板模型,使用经济距离和经济地理距离空间权重矩阵,实证分析了交通基础设施与人力资本两因素对区域创新能力的空间溢出效应。结果显示:(1)两因素在经济距离空间权重矩阵和经济地理距离空间权重矩阵中均对区域创新能力产生了显著的空间溢出效应和时间累积效应。前者对区域创新能力产生正空间溢出,后者对区域创新能力产生负空间负溢出;(2)两因素对区域创新能力空间溢出效应的大小同时受地理距离与经济发展水平的影响;(3)两因素对区域创新能力速度提升的影响不显著。",北京理工大学学报(社会科学版),核心,2018年01期,1442,36,https://wap.cnki.net/touch/web/Journal/Article/BLDS201801012.html,"交通基础设施,人力资本,区域创新能力,动态空间杜宾面板模型"
城市化、工业化与区域创新能力——基于空间计量模型的实证分析,付琦 卓乘风 邓峰,"在实施创新驱动战略背景下,区域创新能力是推动区域经济发展的重要力量。在考虑空间因素的基础上,选取2005—2015年中国省域面板数据,分析城市化、工业化发展对区域创新能力的作用机制。实证结果表明:城市化、工业化水平的提高对区域创新能力具有正向促进作用,已成为推动区域创新发展的源泉;在考虑城市化与工业化的交互作用时,城市化和工业化对区域创新能力的促进效应有一定的提升。",科技管理研究,核心,2018年01期,768,12,https://wap.cnki.net/touch/web/Journal/Article/KJGL201801005.html,"区域创新能力,城市化,工业化,空间计量模型"
R&D投入与区域创新能力关系及溢出效应分析——金融发展的调节作用,王淑英 张水娟 王文坡,"基于空间溢出效应,以传统Cobb-Douglas生产函数为研究框架,引入R&D投入作为新生产要素,将金融发展作为调节变量,利用计量经济学空间杜宾模型对我国内地30个省份2006-2015年R&D投入和区域创新能力溢出效应进行研究。结果显示,以金融发展为调节变量,R&D投入对区域创新能力提升具有显著促进作用,区域创新能力存在溢出效应;同时,在金融系统发展支持下,R&D人员投入溢出效应对区域创新能力起消极作用,而R&D资金投入溢出效应对区域创新能力具有促进作用。因此,加快金融系统发展,对金融资产进行合理有效配置,构建由政府发挥引导作用的金融体系,对R&D投入和区域创新能力提升具有重大意义。",科技进步与对策,CSSCI,核心,1037,21,https://wap.cnki.net/touch/web/Journal/Article/KJJB201802007.html,"R&D投入,区域创新能力,溢出效应,空间杜宾模型"
区域创新能力、农业经济与生态环境协调发展关系研究——省级面板数据空间计量分析,赵小雨 王学军 郭群,"首先,建立4种空间权重矩阵,运用Moran′I检验证实了农业生态环境空间相关性;其次,构建基于库兹涅茨曲线的空间计量模型,将区域创新能力纳入研究框架,运用2005-2013年我国内地31个省份面板数据实证分析区域创新能力、农业经济与生态环境协调发展关系,并对各影响因素空间效应进行分解;最后,对统计结果进行稳健性检验。结果表明,我国农村经济发展与生态环境间呈正U型曲线关系,而区域创新能力提升将显著改善农业生态环境,并进一步促进我国农业经济可持续发展。",科技进步与对策,CSSCI,核心,1049,14,https://wap.cnki.net/touch/web/Journal/Article/KJJB201807006.html,"区域创新能力,农业经济发展,生态环境,空间计量模型"
产业结构动态外部性对区域创新能力影响实证研究,李健 余悦,"通过对1999-2008年我国30个省市自治区的面板数据分析发现,MAR外部性和Jacobs外部性对区域创新能力具有积极的技术溢出效应。对不同区域的回归结果表明,Porter外部性不利于东部沿海地区培育本地创新能力,但能够推动中部发展中地区提升创新能力。此外,本地技术市场的成熟度、GDP增速及R&D投入强度都能有效地促进区域创新能力的提升,发达地区政府科技支持力度及欠发达地区开放程度有助于培育本地技术创新能力。",科研管理,核心,2018年S1期,664,9,https://wap.cnki.net/touch/web/Journal/Article/KYGL2018S1029.html,"产业结构,动态外部性,区域创新能力"
